#TYPE Selected.System.IO.DirectoryInfo
"Name";"CreationTime";"LastWriteTime"
"Green Book (2018)";"28/06/2020 22:39:02";"12/07/2020 12:47:51"
"Greyhound (2020)";"12/07/2020 16:57:47";"14/07/2020 21:31:53"
"Gunpowder Milkshake (2021)";"15/07/2021 21:06:17";"17/07/2021 22:18:34"
"Hacksaw Ridge (2016)";"30/06/2020 02:16:10";"30/06/2020 23:56:56"
"Harry Potter 1 And The Sorcerers Stone (2001)";"23/02/2019 18:38:52";"23/02/2019 18:40:00"
"Harry Potter 2 And The Chamber Of Secrets (2002)";"23/02/2019 18:40:00";"23/02/2019 18:41:09"
"Harry Potter 3 And The Prisoner Of Azkaban (2004)";"23/02/2019 18:41:09";"23/02/2019 18:42:12"
"Harry Potter 4 And The Goblet Of Fire (2005)";"23/02/2019 18:42:12";"23/02/2019 18:43:34"
"Harry Potter 5 And The Order Of The Phoenix (2007)";"23/02/2019 18:43:34";"23/02/2019 18:44:35"
"Harry Potter 6 and the Half Blood Prince (2009)";"23/02/2019 18:44:35";"23/02/2019 18:45:47"
"Harry Potter 7 And The Deathly Hallows Part 1 (2010)";"23/02/2019 18:45:47";"23/02/2019 18:46:54"
"Harry Potter 7 And The Deathly Hallows Part 2 (2011)";"23/02/2019 18:46:54";"23/02/2019 18:47:52"
"Hidden Figures (2016)";"05/10/2022 14:53:06";"11/10/2022 00:00:27"
"Hitman (2007)";"12/10/2021 21:59:40";"14/10/2021 21:47:32"
"Hitman Agent 47 (2015)";"12/10/2021 22:00:01";"16/10/2021 11:56:37"
"Honest Thief (2020)";"05/12/2020 18:38:01";"22/12/2020 21:51:26"
"Hotel Transylvania Transformania (2022)";"16/01/2022 12:07:16";"22/03/2022 20:01:11"
"How To Be Single (2016)";"22/04/2022 09:43:47";"21/05/2022 15:30:17"
"Hurricane (2018)";"07/07/2020 20:14:25";"28/07/2020 20:34:59"
"I Care A Lot (2020)";"26/06/2021 12:52:54";"01/07/2021 21:41:57"
"Ice Age 1 (2002)";"23/02/2019 18:47:52";"23/02/2019 18:47:52"
"Ice Age 4 Continental Drift (2012)";"23/02/2019 18:49:04";"23/02/2019 18:49:56"
"Idiocracy (2006)";"21/11/2022 17:21:11";"02/12/2022 12:21:40"
"In Secret (2013)";"11/03/2023 14:04:47";"14/03/2023 21:01:57"
"In Time (2011)";"28/08/2022 17:35:37";"19/09/2022 21:58:04"
"Indiana Jones 1 - Raiders Of The Lost Ark (1981)";"19/03/2023 02:57:35";"19/03/2023 02:57:53"
"Indiana Jones 3 - Last Crusade (1989)";"19/03/2023 02:58:09";"19/03/2023 02:58:15"
"Indiana Jones 4 - Kingdom Of The Crystal Skull (2008)";"19/03/2023 02:58:25";"19/03/2023 02:58:31"
"Infinite (2021)";"27/02/2022 17:13:33";"27/02/2022 20:04:55"
"Interstellar (2014)";"28/06/2020 22:39:24";"30/06/2020 02:27:51"
"Ironclad (2011)";"01/01/2021 21:39:56";"17/01/2021 19:58:21"
"Jack Reacher Never Go Back (2016)";"28/03/2022 01:58:15";"02/04/2022 01:36:14"
